Wall time,Step,Value
1735826928.4702768,23919,-1997.3487548828125
1735826931.6471772,23979,-1897.35546875
1735826934.6999474,24037,-1997.340576171875
1735826937.5969334,24090,-2097.29833984375
1735826940.9157262,24150,-1997.30712890625
1735826944.1432095,24207,-1997.3048095703125
1735826946.9173498,24257,-2097.298095703125
1735826950.0304701,24313,-2197.2919921875
1735826953.2381887,24372,-2197.277099609375
1735826955.8079715,24421,-2297.2861328125
1735826958.8077986,24475,-2097.2783203125
1735826961.9306614,24530,-2197.23828125
1735826964.759772,24582,-2197.229736328125
1735826967.9255807,24641,-2097.229736328125
1735826971.0395236,24700,-1997.2352294921875
1735826973.9263859,24752,-2197.2412109375
1735826976.8488135,24802,-2297.240234375
1735826980.037599,24859,-2397.23828125
1735826983.3287072,24919,-2497.255615234375
1735826986.6280668,24979,-2397.278564453125
1735826989.4883509,25031,-2597.267578125
1735826992.4570749,25085,-2597.237060546875
1735826995.7346404,25143,-2597.248779296875
1735826998.9491684,25201,-2497.2431640625
1735827001.829206,25255,-2497.241455078125
1735827004.9920428,25314,-2497.2333984375
1735827008.2289283,25374,-2497.235107421875
1735827011.5398514,25432,-2397.232421875
1735827014.8153183,25491,-2297.2392578125
1735827018.014477,25551,-2297.228759765625
1735827020.8270404,25603,-2397.232177734375
1735827023.9333878,25660,-2297.25390625
1735827027.0746126,25717,-2297.26953125
1735827030.5083032,25777,-2297.27294921875
1735827033.8237329,25835,-2197.302490234375
1735827036.969544,25893,-2197.3427734375
1735827040.4440217,25955,-2097.380859375
1735827043.6537395,26014,-1997.3829345703125
1735827046.8149207,26069,-2197.389404296875
1735827049.981322,26125,-2297.38134765625
1735827053.299312,26185,-2197.365478515625
1735827056.5485852,26242,-2197.37255859375
1735827059.653173,26299,-2097.34033203125
1735827063.108859,26358,-1997.33203125
1735827066.2650433,26417,-1997.3294677734375
1735827069.4399974,26477,-1797.346435546875
1735827072.5922742,26535,-1797.3487548828125
1735827075.881344,26595,-1797.346923828125
1735827079.0119839,26650,-1897.35791015625
1735827082.3812604,26710,-1797.3514404296875
1735827085.6648655,26769,-1897.3675537109375
1735827088.908297,26828,-1897.358642578125
1735827092.1215718,26888,-1797.3800048828125
1735827095.0269852,26942,-1797.3961181640625
1735827098.0372565,26992,-2097.405029296875
1735827101.1171021,27046,-1997.4207763671875
1735827104.4955988,27106,-1897.4178466796875
1735827107.478962,27162,-1897.4154052734375
1735827110.3954778,27217,-1997.41748046875
1735827113.3941696,27270,-1997.369384765625
1735827116.5332928,27327,-1997.353271484375
1735827119.805415,27385,-1897.314697265625
1735827122.9831276,27444,-1797.3170166015625
1735827125.9541404,27498,-1697.3084716796875
1735827129.3621807,27558,-1597.3165283203125
1735827133.1352565,27618,-1497.3154296875
1735827136.2210283,27672,-1397.32470703125
1735827139.4867387,27731,-1397.3416748046875
1735827142.7657785,27789,-1497.328857421875
1735827146.03423,27848,-1597.3233642578125
1735827149.3819623,27907,-1697.3236083984375
1735827152.7299087,27967,-1597.3211669921875
1735827155.8597791,28022,-1697.3160400390625
1735827159.1460326,28082,-1597.321533203125
1735827162.1837301,28137,-1697.33056640625
1735827165.6254568,28197,-1597.3270263671875
1735827169.216645,28257,-1597.3238525390625
1735827172.4727461,28316,-1597.306884765625
1735827175.2995718,28369,-1597.2762451171875
1735827178.502263,28428,-1397.268798828125
1735827181.7006805,28488,-1297.273193359375
1735827184.8896763,28545,-1397.2528076171875
1735827187.9554212,28600,-1397.2442626953125
1735827191.138062,28660,-1297.247802734375
1735827194.2384274,28716,-1297.265380859375
1735827197.587485,28775,-1197.251953125
1735827201.0145347,28835,-1197.25146484375
1735827204.2747316,28894,-1197.248046875
1735827207.592895,28954,-1197.2423095703125
1735827210.5847006,29009,-1297.243408203125
1735827213.8005142,29068,-1297.241455078125
1735827217.0545087,29127,-1197.2274169921875
1735827220.5976758,29187,-1197.243896484375
1735827223.8993716,29245,-1197.2598876953125
1735827226.951046,29299,-1197.2630615234375
1735827230.2232187,29359,-1097.2735595703125
1735827233.5180004,29419,-1197.2816162109375
1735827237.0554404,29479,-1097.2945556640625
1735827240.4722505,29539,-1097.2950439453125
1735827243.4763339,29594,-1197.3084716796875
1735827246.8760257,29654,-1197.31103515625
1735827249.831918,29708,-1297.3177490234375
1735827253.3851717,29768,-1297.3172607421875
1735827256.2495458,29819,-1397.3282470703125
1735827259.507453,29877,-1297.3067626953125
1735827262.739736,29935,-1297.29833984375
1735827265.7896988,29988,-1297.301513671875
1735827268.9720726,30047,-1197.281005859375
1735827272.4931555,30107,-1197.2760009765625
1735827275.9125774,30166,-1097.2703857421875
1735827279.0422587,30224,-1097.265380859375
1735827282.3949203,30284,-1197.274169921875
1735827285.714606,30344,-1297.2802734375
1735827289.293843,30404,-1197.2843017578125
1735827292.3621752,30458,-1197.27734375
1735827295.6951663,30517,-1197.2757568359375
1735827298.4465024,30565,-1397.267333984375
1735827301.8040302,30622,-1497.2684326171875
1735827305.3338616,30681,-1397.2694091796875
1735827308.6729002,30738,-1297.25927734375
1735827311.732301,30792,-1497.2498779296875
1735827314.7938018,30846,-1497.25146484375
1735827318.0754926,30906,-1497.243408203125
1735827321.3112242,30963,-1497.20947265625
1735827324.042904,31011,-1497.1875
1735827327.4387934,31070,-1497.173583984375
1735827330.7019298,31129,-1397.16650390625
1735827333.7478328,31184,-1497.16357421875
1735827336.974413,31241,-1397.16162109375
1735827339.942912,31294,-1497.172607421875
1735827343.0585797,31350,-1597.1640625
1735827346.3410788,31410,-1597.1708984375
1735827349.583429,31469,-1597.180908203125
1735827352.988159,31529,-1597.1788330078125
1735827356.4714608,31589,-1597.1837158203125
1735827359.719379,31647,-1597.17626953125
1735827362.8242643,31705,-1497.158447265625
1735827365.9183342,31760,-1497.161865234375
1735827368.664508,31810,-1697.176513671875
1735827371.4989207,31860,-1897.173583984375
1735827374.6349509,31916,-1997.1787109375
1735827377.9961548,31976,-1797.194091796875
1735827381.27345,32035,-1697.1842041015625
1735827384.5821087,32093,-1897.1756591796875
1735827387.9135857,32151,-1897.1761474609375
1735827391.522962,32212,-1697.185546875
1735827394.6975806,32267,-1697.181640625
1735827398.1108246,32327,-1697.1751708984375
1735827401.3658705,32386,-1697.20166015625
1735827404.5735836,32443,-1597.1866455078125
1735827407.7588127,32497,-1697.1761474609375
1735827411.0253,32556,-1697.1695556640625
1735827414.4818785,32616,-1597.1885986328125
1735827417.8311818,32674,-1497.19091796875
1735827421.142002,32733,-1397.1978759765625
1735827424.5934494,32793,-1297.2054443359375
1735827427.850889,32850,-1297.221435546875
1735827430.9583795,32906,-1397.2340087890625
1735827434.300038,32965,-1397.2359619140625
1735827437.5779965,33023,-1497.248046875
1735827440.863349,33082,-1497.258544921875
1735827443.682396,33131,-1697.275390625
1735827447.1201403,33191,-1597.2801513671875
